categorie,nature,numero,nom,km,osm_id
TERTIAIRE,Route tertiaire,"","",2.291,w304029110
TERTIAIRE,Route tertiaire,"","",2.290,w296969166
TERTIAIRE,Route tertiaire,"","",2.275,w836406531
TERTIAIRE,Route tertiaire,"","",2.270,w330992870
TERTIAIRE,Route tertiaire,"","",2.261,w566748529
SECONDAIRE,Route secondaire,"","",2.258,w689720217
TERTIAIRE,Route tertiaire,"","",2.252,w269972081
TERTIAIRE,Route tertiaire,"","",2.248,w300369854
TERTIAIRE,Route tertiaire,"","",2.243,w646932934
TERTIAIRE,Route tertiaire,"","",2.240,w650306324
SECONDAIRE,Route secondaire,"","",2.233,w272028680
TERTIAIRE,Route tertiaire,"","",2.224,w329358699
PRINCIPALE,Route primaire,"","",2.215,w1039670651
TERTIAIRE,Route tertiaire,"","",2.213,w438165888
TERTIAIRE,Route tertiaire,"","",2.207,w492790755
SECONDAIRE,Route secondaire,"",Transversale 6,2.203,w217573317
TERTIAIRE,Route tertiaire,"","",2.200,w246573896
TERTIAIRE,Route tertiaire,"","",2.192,w703937762
PRINCIPALE,Route primaire,"",Autoroute le Prince,2.186,w690247429
TERTIAIRE,Route tertiaire,"","",2.179,w94781465
PRINCIPALE,Route primaire,"",Autoroute le Prince,2.178,w690247428
TERTIAIRE,Route tertiaire,"","",2.177,w302355637
TERTIAIRE,Route tertiaire,"","",2.172,w668080948
TERTIAIRE,Route tertiaire,"","",2.163,w638279365
TERTIAIRE,Route tertiaire,"","",2.162,w272511802
TERTIAIRE,Route tertiaire,"","",2.159,w302883268
TERTIAIRE,Route tertiaire,"","",2.157,w489947270
TERTIAIRE,Route tertiaire,"","",2.157,w686584285
TERTIAIRE,Route tertiaire,"","",2.156,w263548167
TERTIAIRE,Route tertiaire,"","",2.153,w269511146
TERTIAIRE,Route tertiaire,"","",2.144,w246571537
TERTIAIRE,Route tertiaire,"","",2.144,w270392555
PRINCIPALE,Route primaire,"","",2.142,w552012447
TERTIAIRE,Route tertiaire,"","",2.130,w272511900
TERTIAIRE,Route tertiaire,"","",2.122,w304026273
TERTIAIRE,Route tertiaire,"","",2.110,w273328731
PRINCIPALE,Route primaire,"","",2.106,w180110593
TERTIAIRE,Route tertiaire,"","",2.104,w304942054
TERTIAIRE,Route tertiaire,"","",2.104,w678889672
SECONDAIRE,Route secondaire,"","",2.103,w398614434
TERTIAIRE,Route tertiaire,"","",2.098,w791318124
TERTIAIRE,Route tertiaire,"","",2.094,w271261202
TERTIAIRE,Route tertiaire,"","",2.083,w271213525
TERTIAIRE,Route tertiaire,"",Transversale 7,2.081,w217751227
TERTIAIRE,Route tertiaire,"","",2.077,w207825932
TERTIAIRE,Route tertiaire,"",Transversale 8,2.075,w141136859
TERTIAIRE,Route tertiaire,"","",2.071,w114625676
TERTIAIRE,Route tertiaire,"","",2.059,w489453495
TERTIAIRE,Route tertiaire,"","",2.056,w305499382
TERTIAIRE,Route tertiaire,"","",2.052,w486208964
TERTIAIRE,Route tertiaire,"","",2.047,w304937439
TERTIAIRE,Route tertiaire,"","",2.042,w217663494
TERTIAIRE,Route tertiaire,"","",2.031,w400335437
TERTIAIRE,Route tertiaire,"","",2.014,w497955006
TERTIAIRE,Route tertiaire,"","",2.012,w330301792
PRINCIPALE,Route primaire,"","",2.002,w335055647
TERTIAIRE,Route tertiaire,"","",2.001,w327563988
TERTIAIRE,Route tertiaire,"","",2.001,w305459075
