Route tertiaire	NC	19.687	Kindia	0.035	0.199	OUTSIDE_BDRI_SCOPE
Route tertiaire	NC	19.679	Nzérékoré	0.025	0.168	OUTSIDE_BDRI_SCOPE
Voie rapide	N1	19.652	Nzérékoré	1.000	1.000	LIKELY_DUPLICATE
Voie rapide	N2	19.624	Mamou	0.983	1.000	LIKELY_DUPLICATE
Voie rapide	N6	19.570	Kankan	0.980	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	19.567	Kindia	0.043	0.535	LIKELY_DUPLICATE
Route tertiaire	NC	19.531	Labé	0.002	0.056	POTENTIAL_BDRI_MISSING
Voie rapide	N5	19.479	Boké	0.917	1.000	LIKELY_DUPLICATE
Voie rapide	N6	19.459	Kankan	1.000	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	19.421	Kankan	0.000	0.000	POTENTIAL_BDRI_MISSING
Route tertiaire	NC	19.382	Kankan	0.000	0.000	POTENTIAL_BDRI_MISSING
Route secondaire	NC	19.381	Kindia	1.000	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	19.380	Kankan	0.095	0.690	LIKELY_DUPLICATE
Route tertiaire	NC	19.311	Nzérékoré	0.051	0.663	LIKELY_DUPLICATE
Route tertiaire	NC	19.201	Labé	0.016	0.189	OUTSIDE_BDRI_SCOPE
Voie rapide	N6	19.187	Kankan	1.000	1.000	LIKELY_DUPLICATE
Route tertiaire	N25	19.177	Labé	1.000	1.000	LIKELY_DUPLICATE
Voie rapide	N1	19.169	Kindia	1.000	1.000	LIKELY_DUPLICATE
Route primaire	N29	19.123	Faranah	1.000	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	19.114	Labé	0.000	0.000	POTENTIAL_BDRI_MISSING
Route primaire	NC	19.095	Kindia	0.015	0.063	POTENTIAL_BDRI_MISSING
Route tertiaire	NC	19.087	Kankan	0.044	0.946	LIKELY_DUPLICATE
Route tertiaire	NC	19.071	Kindia	0.003	0.089	POTENTIAL_BDRI_MISSING
Route tertiaire	NC	19.056	Faranah	0.000	0.000	POTENTIAL_BDRI_MISSING
Route tertiaire	NC	19.038	Kindia	0.123	0.488	OUTSIDE_BDRI_SCOPE
Route tertiaire	NC	18.960	Kankan	0.052	0.385	OUTSIDE_BDRI_SCOPE
Route tertiaire	NC	18.951	Faranah	0.045	0.699	LIKELY_DUPLICATE
Route secondaire	N21	18.932	Boké	1.000	1.000	LIKELY_DUPLICATE
Route primaire	N27	18.875	Faranah	1.000	1.000	LIKELY_DUPLICATE
Voie rapide	N1	18.845	Kankan	1.000	1.000	LIKELY_DUPLICATE
Route primaire	N30	18.791	Faranah	1.000	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	18.738	Faranah	0.137	0.761	LIKELY_DUPLICATE
Route secondaire	NC	18.729	Nzérékoré	0.000	0.000	POTENTIAL_BDRI_MISSING
Route primaire	NC	18.717	Kindia	0.013	0.111	UNDETERMINED
Route tertiaire	NC	18.693	Labé	0.004	0.064	POTENTIAL_BDRI_MISSING
Route primaire	NC	18.671	Faranah	0.073	0.459	UNDETERMINED
Route tertiaire	NC	18.635	Labé	0.072	0.367	OUTSIDE_BDRI_SCOPE
Route secondaire	N31	18.422	Faranah	0.752	1.000	LIKELY_DUPLICATE
Route primaire	N27	18.420	Labé	1.000	1.000	LIKELY_DUPLICATE
Route secondaire	NC	18.414	Kankan	0.049	0.547	LIKELY_DUPLICATE
Route secondaire	NC	18.354	Boké	0.008	0.132	UNDETERMINED
Voie rapide	N1	18.306	Mamou	0.917	1.000	LIKELY_DUPLICATE
Route primaire	NC	18.263	Kindia	1.000	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	18.227	Labé	0.000	0.013	POTENTIAL_BDRI_MISSING
Route tertiaire	NC	18.127	Kankan	0.003	0.040	POTENTIAL_BDRI_MISSING
Route primaire	N30	18.114	Kankan	1.000	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	17.993	Kankan	0.005	0.089	POTENTIAL_BDRI_MISSING
Route tertiaire	NC	17.980	Kindia	0.026	0.192	OUTSIDE_BDRI_SCOPE
Route secondaire	NC	17.931	Nzérékoré	0.000	0.101	UNDETERMINED
Route tertiaire	NC	17.763	Nzérékoré	0.129	0.693	LIKELY_DUPLICATE
Voie rapide	N2	17.726	Faranah	1.000	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	17.719	Boké	0.007	0.179	OUTSIDE_BDRI_SCOPE
Route tertiaire	NC	17.701	Mamou	0.015	0.309	OUTSIDE_BDRI_SCOPE
Route tertiaire	NC	17.693	Kankan	0.007	0.045	POTENTIAL_BDRI_MISSING
Route tertiaire	NC	17.652	Labé	0.033	0.281	OUTSIDE_BDRI_SCOPE
Voie rapide	N2	17.623	Faranah	1.000	1.000	LIKELY_DUPLICATE
Route primaire	N32	17.591	Kankan	1.000	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	17.588	Nzérékoré	0.004	0.026	POTENTIAL_BDRI_MISSING
Route secondaire	NC	17.540	Boké	0.076	0.609	LIKELY_DUPLICATE
Voie rapide	N1	17.487	Nzérékoré	1.000	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	17.485	Kindia	0.014	0.414	OUTSIDE_BDRI_SCOPE
Route tertiaire	NC	17.483	Nzérékoré	0.002	0.015	POTENTIAL_BDRI_MISSING
Route tertiaire	NC	17.467	Kankan	0.000	0.000	POTENTIAL_BDRI_MISSING
Route tertiaire	NC	17.357	Labé	0.673	0.848	LIKELY_DUPLICATE
Route primaire	N24	17.291	Kindia	1.000	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	17.266	Kankan	0.003	0.031	POTENTIAL_BDRI_MISSING
